Label,Path
go,data/bc26112a-6ba5-4e63-8e62-aa3c25b09aee.wav
happy,data/d0a3eb7c-5347-4531-a608-8ac73784c2c4.wav
house,data/569589ee-2f2f-40f4-86ef-9ddfbaa3ca75.wav
learn,data/597b8148-da5d-474d-8223-576efb201535.wav
left,data/1f055a9a-3af2-4e77-b81b-87d04303cc53.wav
marvin,data/e285d3e9-71a0-4425-b1ac-6d25fb7cc6c7.wav
nine,data/f3a0ed51-3490-4ac3-9670-6159c3ea5572.wav
no,data/cbed9662-dfeb-42e0-a159-83a92dcccce8.wav
off,data/596a3241-0229-4719-8d2a-0df6b5c7fa74.wav
on,data/0ede58fb-e0f8-498a-a400-d84d5b4ddf0a.wav
one,data/d0ddeb7d-126b-42ce-b1f8-af5f652d1cc2.wav
right,data/84014bd7-3a2e-45d1-bd7e-e5a731b553cd.wav
seven,data/441ab996-a0ae-4575-b3c5-ae5183b6a61b.wav
sheila,data/40f21399-3864-484d-a6a0-c27911be8783.wav
six,data/ccf3f8b1-a041-4ad1-936f-2e611e0e77c6.wav
stop,data/923c8946-c5dd-4f68-a93f-e45f6ed01633.wav
three,data/cd9efc69-5630-4297-a763-02a38935322e.wav
tree,data/0085d0f1-1d07-44ae-9641-150f7cfebe50.wav
two,data/977e0c1e-cec4-436d-87b8-d7eba83e22cf.wav
up,data/e30d5876-07af-4062-9ccb-7afa76dac29d.wav
visual,data/3f467935-02d6-4074-a047-d4a92330773b.wav
wow,data/2a0275e7-8126-47e2-8773-383f709193f6.wav
yes,data/c19cce1f-ba37-41e5-86b0-21781821524d.wav
zero,data/34672a5d-2808-447c-9661-24a777fc029e.wav
backward,data/6bf9677b-add6-4ba9-af9f-2fb0dc419685.wav
bed,data/1ed05402-fdd8-4e2a-b4fc-5f03d25c2b95.wav
bird,data/721815d4-988a-4e56-85a4-11688da54bdf.wav
cat,data/99882500-c8d8-459a-b5f3-0f215c2deedb.wav
dog,data/3460c1e6-2c01-49f3-b099-d45c425c1eb1.wav
down,data/fa142ab9-6322-4215-afa5-734ff6d1e9a9.wav
eight,data/348debf6-cc16-4f06-8d89-e5cc30d08e86.wav
five,data/5c921dcb-01de-458b-b8d0-58f846d33b20.wav
follow,data/b395bdcd-39b2-414c-83da-c2566e2ece27.wav
forward,data/0c94131a-2f2a-4e6e-a7a1-027e2ed56b17.wav
four,data/2b57eafa-e4e8-4fe9-8c09-3654a9bdbc63.wav
go,data/b8d0546d-bad0-4b97-ba7f-70c8bf7cdad5.wav
happy,data/d7636cb9-682f-4424-a72d-c985a32e3388.wav
house,data/d22fde1d-51d6-4d6a-966a-427802cbee44.wav
learn,data/433cc5b3-d5d3-42c5-b4ae-659cbd8ba913.wav
left,data/4e3e01e0-0a47-4c01-a8ef-83f317bc5c73.wav
marvin,data/b735a546-50bd-4f4e-96ec-6e81bd6b1832.wav
nine,data/49a3fcaf-cb8e-471a-8c57-4b4270a3ea7d.wav
no,data/b18bd3d5-6db8-4388-842b-52ed8c79f37c.wav
off,data/b02aac41-ceac-41f9-b3b9-a59ff93bdad2.wav
on,data/e5f631be-e8f7-4835-bb48-91fdf6f07991.wav
one,data/b3f674e6-2808-4934-8577-a06616e9a8f7.wav
right,data/86bb4e50-6570-4980-af81-b2f76934f2da.wav
seven,data/4a4ab58a-f4de-4618-9514-71c9dcb1d371.wav
sheila,data/75b329d1-6e07-49de-9d1b-1da73d5d4c85.wav
six,data/dfdba2c5-7e9f-4b78-817a-aaba654c84f2.wav
stop,data/ef6103f4-35a3-4468-bbf1-37532613f85f.wav
three,data/be3ff770-6105-4b12-8bb0-7e96388fbb90.wav
tree,data/d24aae8c-4afa-4bad-a927-3903c2b7b05f.wav
two,data/308bc920-e61d-4ac5-9d40-b27234cbf89a.wav
up,data/1707a0ca-f485-46c0-9d9b-345627050254.wav
visual,data/c094b1e4-a052-4d30-9350-cc043567b419.wav
wow,data/5a6177eb-ea8f-431b-bf2d-d4d7a6d4c260.wav
yes,data/3c6bab53-490c-42db-978d-efe25a59d3a5.wav
zero,data/bcf6795f-8193-4b00-bbf3-905dbe8e6970.wav
backward,data/fff256d2-6be3-4b52-90d8-4e84d295b591.wav
bed,data/cc79a799-9dfc-4b4c-a96b-4f4b3f6224d3.wav
bird,data/5f974060-8227-4ac7-b429-9f4dd4398bf0.wav
cat,data/d2e69d8d-0505-4cca-81ad-ff4c46773fee.wav
dog,data/44f49aae-6334-4e31-90d3-041e6bd3431c.wav
down,data/ef9f5a90-d50e-452f-af1f-388eb8bd75ef.wav
eight,data/78ae49f9-bf71-4bd9-bb8d-776a4e7eb913.wav
five,data/d8ab297d-fee8-43c0-88a3-9fedcbca7117.wav
follow,data/03f04ef3-9613-431e-97d7-f3f19a92b568.wav
forward,data/c67556f8-00e0-4d1f-b23c-87afe78444f3.wav
four,data/3081417f-7fee-44c3-8b73-810162f89f23.wav
go,data/9485d7ee-97b0-45f3-ad87-3f4b338c642e.wav
happy,data/d63652ef-45e0-4dd1-a12c-73677130187e.wav
house,data/575df466-58e2-4406-b87e-bab8659f2155.wav
learn,data/5563e845-82c2-478f-933e-fadcefcd447b.wav
left,data/7c236bc2-833b-4e66-a494-a62d11265ebe.wav
marvin,data/95c8fc91-b9a0-4854-aa23-db4cebde005c.wav
nine,data/609886ed-d0fa-403c-9529-cbca21c945c4.wav
no,data/6542421b-cf05-41db-ad04-7e644ac2c29a.wav
off,data/6a426d44-2219-429f-83ec-40ab90033890.wav
on,data/9b18d077-0021-4c39-9bab-d61a7c731916.wav
one,data/21ea585d-49c5-4543-b787-681e4001a3f6.wav
right,data/e52b9cd4-a039-4c0b-8d85-0bd44b0f9c0c.wav
seven,data/03925f77-040c-4b7d-9cef-ef828093d1ca.wav
sheila,data/44ff4abb-04af-47fa-9516-5334a9c0fbbc.wav
six,data/149ddbb4-d82e-457b-b6f9-d0365cbc689e.wav
stop,data/8bf94a18-07e0-4735-8c32-263a059e7711.wav
three,data/4f0b7149-8fdb-4f3a-a5fc-590bda1e5e87.wav
tree,data/4fe976ff-53c0-49ce-8763-b2f489917b7a.wav
two,data/c29467a9-4383-487c-a899-38edf81e4624.wav
up,data/28a90c5d-4ed8-4e81-b01b-7d4e0b5b99ae.wav
visual,data/abe4c444-7732-4777-8fb2-079484471625.wav
wow,data/342bebd7-0d0f-4e7a-85d6-1e1f80293e0f.wav
yes,data/bdefc077-b259-4e1f-a964-2c006d5e3ac8.wav
zero,data/35499f2b-e8b4-444d-a81a-74a476fd27a9.wav
backward,data/c10bbd8a-4042-4eaa-8c9c-49bd244e32d4.wav
bed,data/7276f591-442f-4705-a830-599fc74155cf.wav
bird,data/608cc2e2-d5c5-4f93-9c53-97b7d57698d1.wav
cat,data/eeec6c85-a985-4de6-b255-a10b335605ff.wav
dog,data/f4252d16-cdbc-4766-a31c-720103a87fb1.wav
down,data/dbc4a99e-5039-4d4a-a16b-534c4e4b7e30.wav
eight,data/cc377e66-0c9b-4d63-ba5e-e43fb163cd0a.wav
five,data/f6187862-620d-4a73-8d2e-e11820d6e027.wav
follow,data/4c842634-c221-42e2-8b61-8e11c1758782.wav
forward,data/0a697742-e172-49da-baa6-1ef28762bd95.wav
four,data/eefcc508-b60a-4481-b957-503ae6887935.wav
go,data/3fdfdf59-bf4e-4c72-8b95-27b5fd2745fc.wav
happy,data/2a0611fa-075c-4884-820e-531973334e67.wav
house,data/ae875f9b-96e8-459c-9f53-b4ad56d20735.wav
learn,data/190bf798-b394-4a22-95a3-0f4621c8ab09.wav
left,data/be0c4307-b435-4e8a-b307-b440c87d8bda.wav
marvin,data/22b606f0-1c4d-4341-9bec-bb6d90109480.wav
nine,data/5c26c82e-bec7-4dbd-80dd-f1ee5f618fc9.wav
no,data/23d5a6d3-13ec-4561-b288-40f2cfaae40a.wav
off,data/e0dead5f-a698-426a-a244-109ff3915603.wav
on,data/ebb23c9f-988d-4b4e-a63b-0ad503c4303a.wav
one,data/447538a4-c682-4cf2-93b5-9fd04cbbe306.wav
right,data/3083321d-a2a4-4265-b304-baddb62dd698.wav
seven,data/c8157644-8d53-44f5-8ced-ddb7434c03db.wav
sheila,data/9ec61c81-4f41-4e00-850c-1dca0c6b32be.wav
six,data/8b235888-dc91-42da-9d52-920a6ddff0db.wav
stop,data/fd5992b6-3ca8-4ff3-a288-111aae6bd0fd.wav
three,data/4544f187-0503-4b49-a021-935e9f192ddc.wav
tree,data/76bc0af4-4615-423a-a16a-d1af6e4e8e36.wav
two,data/f5af39d9-46c3-4a64-9652-fe18f9f43bfe.wav
up,data/f4e552e4-3d1b-4d4c-a228-e568cb846e16.wav
visual,data/8a76dcad-abed-4a85-ae70-b7ca0995832a.wav
wow,data/17d0163d-9ddc-46bd-aa4f-c51a85017c09.wav
yes,data/2a78d0bf-713f-4c5f-86b9-315814cc06ad.wav
zero,data/86ea0d0f-6a2b-4c30-9166-bd5e2d1ef9c9.wav
backward,data/e9b1fab3-11ef-4511-a92e-9b00486fc7c7.wav
bed,data/61e71a5b-3fc6-45e5-9c32-c09ff68f5fc4.wav
bird,data/ba788340-dcd1-4a1d-bd2b-358f9e820ad7.wav
cat,data/d3a13002-a9ab-47e5-b7be-896eff8e99f5.wav
dog,data/890b72be-3054-4f77-b52c-24fd4b8db878.wav
down,data/d5ed9690-e393-4854-988c-5a0d404afa06.wav
eight,data/c97708b1-1a99-41ba-aa8a-ac6d4c5eef54.wav
five,data/a9802f92-72be-4b90-badc-606356d88229.wav
follow,data/043630cb-7952-4397-80cd-696dc808aadd.wav
forward,data/e025aa7e-a4fd-41b9-88f0-f3fc82ca3179.wav
four,data/35e91fe8-65dd-44ee-9151-a88ad884e8ae.wav
go,data/0e9f5c2a-0db3-47be-b0dc-a7a6d80c84c9.wav
happy,data/e8e22446-3f02-4144-a959-eea53924e257.wav
house,data/c6580596-b64c-471b-a1c5-05bbe981e978.wav
learn,data/647770ff-6d16-42c3-bee7-a3d6550b7166.wav
left,data/4bc46762-2dfb-4442-82b3-983051c30bee.wav
marvin,data/780cde79-505c-44df-aa59-16288b9f7074.wav
nine,data/ffc38a6a-4af6-4fa8-a42f-e88df8267125.wav
no,data/25ae9412-0bcb-4b8a-9a43-cf6907d3994f.wav
off,data/7bffb177-283c-4308-ba31-cfb90dc49781.wav
on,data/9233c973-3e1e-4859-90ca-f4a233568fa0.wav
one,data/563c9b8f-e3f6-4dea-9f59-8d59745d2ac1.wav
right,data/4cdb127c-e9af-4e33-b10f-7d957cf7ee1f.wav
seven,data/1892f66c-2821-487a-bce2-c21641785c7f.wav
sheila,data/3c72b793-58dc-40a5-958e-a3ce25a4196c.wav
six,data/c0108b89-f557-4e6f-a75d-307dd7042250.wav
stop,data/b66f48f2-b372-4a21-893a-55d06f2c6ec9.wav
three,data/4920c9f8-1f0b-4081-9727-574a7706af1c.wav
tree,data/7cb4623a-06e9-461b-bcc1-ae2f0bd301dd.wav
two,data/2f59587b-87aa-40e5-ad54-804f04d4ba83.wav
up,data/ab34550c-4f78-4b64-93db-a079d7da1b5a.wav
visual,data/0a0149c7-9896-4b03-9978-edcb99e2a33f.wav
wow,data/2b68ba68-e0e3-4344-9523-bb507d10d4a2.wav
yes,data/e80a94c4-f838-4f7e-b220-dd2785ef5838.wav
zero,data/bcf4dd24-873e-49d9-ac1c-aa3ec13cbbf2.wav
backward,data/c0f39e57-2b7c-483b-8715-7bd884e1cead.wav
bed,data/965dfe95-fd3b-4fb8-9656-7fa97f4d3540.wav
bird,data/3d8bcf01-3cd7-48bf-bc8d-78419dff3c97.wav
cat,data/43986b58-519f-4b01-9188-3f7cc1ccd7fd.wav
dog,data/c3eda895-6cd0-4ad4-9a30-fe1af981ecc1.wav
down,data/12b374f3-f3a6-4083-b0a2-9fe8544605f1.wav
eight,data/6c1add9d-001f-471d-92e8-da7d3fb5fd8b.wav
five,data/94127ed1-ec06-4a7a-ba37-4da9792a2971.wav
follow,data/3199a2b2-937c-431f-9790-43d7d4ad6a88.wav
forward,data/96259afe-b075-4a5c-ac3f-2e97d7725bb7.wav
four,data/6986aad1-3009-4ed0-8eec-19014c412102.wav
go,data/d3a24675-99b8-433f-87e7-984643060218.wav
happy,data/d06cb961-8a0c-49b4-b75c-aaff7511c120.wav
house,data/59cf2767-d0b8-4723-bc66-1d8101d2f8c5.wav
learn,data/dbe61d23-d53f-480c-b16a-e48b2bd43e95.wav
left,data/34b0bcbc-f089-4cde-bd14-d6eb0936cb44.wav
marvin,data/17d45391-7286-48fc-a312-287cf5a04fd5.wav
nine,data/183da6fc-a124-491b-9e0e-6a8c52374f7d.wav
no,data/5fbe55a8-63ce-4d9d-b8de-a45ff34948ea.wav
off,data/ceae1c2d-a3e8-4cc5-ac82-eb0d69f9986d.wav
on,data/4617dd1c-c65d-45a8-96e4-996566795d8e.wav
one,data/4671fd8f-210e-42e2-89a0-bd1db890f02b.wav
right,data/e4db6a59-6701-454d-8825-04dfc4d23fca.wav
seven,data/9fd55d0d-cd9e-4755-a80c-2b2d2413af23.wav
sheila,data/313167f8-6dac-4cb0-8b36-5aa6cd884a28.wav
six,data/59e1a614-06d5-4473-bf2f-8c8ed7644734.wav
stop,data/94f181f2-91a8-4179-8a4e-e451825b5ec0.wav
three,data/b416fb7e-c170-4060-944d-7407132633f3.wav
tree,data/9158bb9e-c65c-4446-b25b-a1903bde547d.wav
two,data/a4e838aa-5ed6-4fa6-9fe9-8e77637ca544.wav
up,data/ae77ed79-898f-4454-83a2-8bfdc6f14c9f.wav
visual,data/8db23df5-101c-491a-b7cb-02fd5b037eb3.wav
wow,data/a6f6cd17-605c-4f6c-b59f-3f17c1406245.wav
yes,data/4b0f242a-db3d-48e2-b6e0-19613de22c56.wav
zero,data/738eba35-ae52-4625-9b9a-326e00ffebe1.wav
backward,data/7a4d6d78-29b9-4c21-8a0d-4afcf3ef8bc9.wav
bed,data/94570f7d-0d60-4199-b845-dc03c3bc3060.wav
bird,data/a76e79f8-b5fa-4bd2-b1b3-f314b5fdad86.wav
cat,data/737ef4b4-871c-46fa-9d73-bda633eab5c0.wav
dog,data/59d205b3-4d63-4a09-a135-e9cef3989cb7.wav
down,data/4c7102fc-be9a-4a3c-a238-3528187ee58b.wav
eight,data/8a2f0489-64d6-43e4-8957-5d397f202a62.wav
five,data/ecf53504-0843-4a20-aa6e-ff8fa33e210e.wav
follow,data/9ea641b5-4c6e-430f-879e-4ff5e2d85c6b.wav
forward,data/d4cbb039-30a8-4cd2-b5a2-a449db7ba281.wav
four,data/24c1697f-4f45-436a-aebe-c49c758b7cbe.wav
go,data/f4592182-8539-43a7-a021-b85d91b93a45.wav
happy,data/e336206d-5a86-4a96-9510-606e89bf914f.wav
house,data/d213b169-a0e0-4c9a-89a8-a5329d20ce54.wav
learn,data/7a41ede0-b9bf-4979-bcaa-6d9409887d0a.wav
left,data/5b780c78-5aa1-493c-917f-417e401336f0.wav
marvin,data/44939be0-0734-474f-b199-42fe45e6efbc.wav
nine,data/3d0f33d5-61dd-4c45-a8e7-20b29c66edd3.wav
no,data/6884c387-a05e-4508-8552-36c984c5babc.wav
off,data/3c630c2e-7097-4aed-9d70-f01c85457406.wav
on,data/d33a4c93-5d97-4ed4-b076-f3ec08a62a2e.wav
one,data/1b54f165-04ee-4e3f-8734-c9898ca1235c.wav
right,data/bb023a03-2581-4b81-b611-6e6c1991b9d0.wav
seven,data/690f20af-b3e7-4405-aeb8-79c7e48bde65.wav
sheila,data/3702d472-55b9-46bc-8888-23826dcedce3.wav
six,data/27364f51-3acc-4bf9-845d-122c59273a9f.wav
stop,data/f53a8823-576d-4cae-9fd7-ba5e6062f95b.wav
three,data/c4094aab-db0a-4250-8ae1-bbfd6b5279a3.wav
tree,data/01b71506-0c0f-405d-a481-870ee85f8930.wav
two,data/2aba07c5-34e7-454e-8767-3b281a15b37f.wav
up,data/d8f292f5-62cd-4b1e-95a9-877c4e685f3f.wav
visual,data/f893b378-9f72-45a1-aa85-2b254bc31916.wav
wow,data/4e5374c7-02d0-4332-935e-73232f83c7fb.wav
yes,data/128771a9-d202-412e-8f1c-1269f4bd0c27.wav
zero,data/15cefea0-9eb3-40d0-8406-5abce8055997.wav
backward,data/424d894e-954d-4fe4-9acd-6c100814af03.wav
bed,data/40a91e51-3dd8-4d2d-b692-184b9c41acd9.wav
bird,data/9bd2b351-21df-432a-99a5-3feeadd1d3dd.wav
cat,data/cc684616-7347-4872-bbc5-57f0a23fa988.wav
dog,data/49a9c7aa-9503-4ff6-8c0b-3ffed48cddfd.wav
down,data/35f441b0-50d5-4451-9a8b-497e086581c3.wav
eight,data/06dcd73c-912c-4c7a-9968-c377abc33655.wav
five,data/236f9cca-81e8-4f82-9d32-c3f515f2181a.wav
follow,data/24788b5a-83af-4841-9776-b8ebe79c8ad6.wav
forward,data/b79aa1e5-b870-430e-bc1b-5adf52fd8b06.wav
four,data/9286c94f-1aa5-4564-9af7-b96cceb5541d.wav
go,data/b62fbbea-81bd-4547-83ad-0a62f1d2c9d9.wav
happy,data/a5828345-fb71-4a46-911e-d0479b656ca0.wav
house,data/eb64bc0a-e6c3-446f-8de4-68eacc128185.wav
learn,data/66a5b659-3a60-4378-bdc3-caa2f98ba607.wav
left,data/b94b65c1-d4fc-4449-943e-43c2b437623f.wav
marvin,data/39500b3f-5640-42c7-aab4-21993e6ea9bf.wav
nine,data/a0529070-08ba-4620-a3d0-538ad2ef22c4.wav
no,data/0f2eeadd-9c09-4a4d-a3e8-c2ca7818befe.wav
off,data/72cd7ab8-3b70-485b-a87d-b9ec3afd2806.wav
on,data/689e5f7a-480e-4c29-86de-b4433e31772e.wav
one,data/1265a2fd-fcf2-4a7f-8d09-59172b259af0.wav
right,data/67fcc8c7-5098-4de9-ae25-8e75ebe921ac.wav
seven,data/7f7eef7c-ac39-4d83-82f1-6f283aab35ec.wav
sheila,data/e24a69ac-e603-4f11-81ad-f5d8230809bc.wav
six,data/588931af-5205-446b-8ba3-5e61dce17bb8.wav
stop,data/9df1bf22-ab49-47f4-b2ff-06ee96c50f2f.wav
three,data/c2e4569d-7abf-4952-afc4-fd0f0a0ccce0.wav
tree,data/ed2d0296-2c9f-4373-ac7d-b9e32646cca8.wav
two,data/43ba1a95-4043-46fb-a56e-492c15ef7e30.wav
up,data/2b2e9a69-d147-40df-bae1-b7f283e07d93.wav
visual,data/f244de49-5263-4b06-9da4-6c8b188a2471.wav
wow,data/99b35b28-55c1-4d2a-adf5-377c99909d60.wav
yes,data/f20895a3-d3a8-4b8c-bb20-182095b0af02.wav
zero,data/bc753080-a655-41f6-89e0-b49ec451dbe0.wav
backward,data/9a8351e6-93e4-41b2-b704-c1add863d35b.wav
bed,data/12e5e6c8-3d88-444b-b6bd-83e732a619f3.wav
bird,data/ca72fb80-1bfd-4f7f-b140-c5525edca678.wav
cat,data/faeb0ad6-2ab3-4e19-bcd3-db2f9a9a20c1.wav
dog,data/6602608f-6672-4f05-9d95-56d0a071a964.wav
down,data/adb6e2a0-6c2d-4b5d-8c97-4f196e143540.wav
eight,data/434fd1b1-8489-4aa4-a0ed-38eff18f46d3.wav
five,data/fa46faaf-ceeb-4381-9f4e-ff905fafc7ad.wav
follow,data/5cd6bd30-11fb-4b5c-b43a-cdef43718ab2.wav
forward,data/ce0b08b7-05dd-475b-82c3-c1040bbcbf23.wav
four,data/a4fff1a0-e28c-4023-8917-8ef5d7c16361.wav
go,data/09dd2a24-62cf-458e-b61f-7b76a4b7be52.wav
happy,data/d69c8ef6-6f8e-4e0f-8f7a-778e27dee0ca.wav
house,data/8a5c608f-5334-4e75-b937-e6006cf62094.wav
learn,data/f323533b-c67d-48c5-9725-fad673d6e8c6.wav
left,data/9ff1ebd6-2cbf-41fd-867c-95f1f8196f2d.wav
marvin,data/783abc29-9966-4bc8-b25d-548bb4ae4107.wav
nine,data/d0046c65-08d0-4399-bea3-87de380e7f79.wav
no,data/1d3b3d77-d4b1-4035-81ed-6c275a22af07.wav
off,data/d46589f8-b08d-43ff-8b6a-3e36c06f7de0.wav
on,data/a580f56e-6222-4fd9-a7bf-282af93945f1.wav
one,data/be01805f-c747-428a-bb90-1049a4e60a96.wav
right,data/48c41775-e0f6-4323-94cf-0c0ee4b3c7aa.wav
seven,data/53106149-8050-4665-b1fb-5be41010d4b0.wav
sheila,data/83354aba-f8b9-469b-b3e7-2fe6cf93e60d.wav
six,data/fb6fad60-8608-401b-a72a-bf86d13bdb04.wav
stop,data/0920d990-f5b1-402d-9d1c-d6d50cf64ea8.wav
three,data/58aa41ef-b0ef-4afc-950c-7422e97026cb.wav
tree,data/5422952b-1f4f-491a-abde-4ae7d19bb82f.wav
two,data/a676a3e5-5822-4c01-a180-37d874f8e335.wav
up,data/904c0678-edfd-424f-8c48-bbfa9daa94c1.wav
visual,data/37140abc-ddb6-4c9b-9eed-c064be1ff42a.wav
wow,data/5721ad45-01fa-4dca-a0e4-de7c81789725.wav
yes,data/60cbfe98-7f54-4594-915b-d7ea5c78bd30.wav
zero,data/0f3f698c-bf3a-4cfb-a698-7de6d02193a3.wav
backward,data/ea99a00c-f50c-433c-8831-7e5927923130.wav
bed,data/82a447b2-13c8-451e-97fa-0fb9350e3e87.wav
bird,data/39536ae1-88d7-4b9b-a1d5-1a2021edbf05.wav
cat,data/5c5a9518-1ab0-4558-8eae-9bebeed0c611.wav
dog,data/e599c78d-c095-49ec-a6c0-c1d3e0359184.wav
down,data/a3971912-6fdc-478e-b203-31117095f3df.wav
eight,data/588a62cf-9f09-420d-9549-2b04c7238db8.wav
five,data/df3ea5dc-e168-40f6-a159-95dc254645b6.wav
follow,data/43a423ed-d3c3-4d21-9832-4f99a71ccb37.wav
forward,data/c33c2d93-b14c-4ef8-99a6-99648698a2c0.wav
four,data/a03b8e70-50eb-4d1f-969f-31f167a6e0d6.wav
go,data/136e1dad-7a5a-45aa-8ffd-f80cd9740a32.wav
happy,data/5008e631-0a8a-4abe-b569-c35e435b86c9.wav
house,data/35f47a71-177c-456e-a084-e4bb9a54317f.wav
learn,data/c71284f8-c9c7-40fc-89c7-3af4b4934f92.wav
left,data/97907e17-213f-4df4-8c87-075ac30cc2fd.wav
marvin,data/e8a4e06a-4cb3-44cc-9f70-65c7114e43e1.wav
nine,data/dec8c498-0b82-4f8c-a864-5e1557f7503d.wav
no,data/22374205-3031-4953-ac40-27d36488e058.wav
off,data/345e7c9d-3655-4e51-bc79-845f6ad766c0.wav
on,data/c8893b6a-81f3-4f51-8830-2cc996b3e6ef.wav
one,data/8cafa4d6-9329-4246-bc8b-a3d20f003495.wav
right,data/35dc47b9-fded-4267-a616-23a4b1060f64.wav
seven,data/674cb73d-814f-40ae-a704-81409f3d872e.wav
sheila,data/321a53cf-10eb-48d3-a7cf-ce3f88429771.wav
six,data/760e14b6-3d9e-4160-be5f-1fd5f66149c5.wav
stop,data/e13d3ada-4119-4d7d-aebd-c851fafb58c7.wav
three,data/8df39889-5f1b-4d28-9c32-906df08ec9bb.wav
tree,data/b20c1e58-0557-4b14-b86f-17b437f9a3f7.wav
two,data/dfdbf880-913d-47a2-8965-e10ceb7fc820.wav
up,data/b726c236-33d4-4479-999c-1d6e61a71d8e.wav
visual,data/b1d8d668-946d-4cc5-a9ac-8a8132b1c332.wav
wow,data/6ddee27a-13ab-4fe1-b480-1ad83e66ff03.wav
yes,data/8390312c-4710-430a-96f1-8bbe6d4017bf.wav
zero,data/e1c1abcc-5c76-451b-9ae4-a4d527484d3c.wav
backward,data/c5a2f3ed-956d-4f4f-888e-ae739698f7ee.wav
bed,data/ab9da3c9-87f5-49c1-9b79-bc5a157c6c7c.wav
bird,data/c1e0f9ca-68c0-45c8-89a8-4dd4b96899d0.wav
cat,data/1dfdc69c-ff30-45b8-95ab-6d74cbd64d0e.wav
